COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
           Q_WC_X_04	    1	      1,000,000	    3,151,950,000	          317,264	  13	    8	   7,901	   8,712	     2	          1,000	         14,000	         40,000	        116,000	        945,000
           Q_WC_X_08	    1	      1,000,000	    2,745,000,000	          364,299	  13	   10	   9,067	   9,772	     2	          1,000	         23,000	        105,000	        900,000	      8,315,000
           Q_WC_X_16	    1	      1,000,000	    3,240,677,000	          308,577	  14	   12	  10,422	  13,716	     1	          1,000	         37,000	        151,000	        522,000	      7,319,000

             Q_WC_01	    2	      1,000,000	    2,200,026,000	          454,540	  13	    8	   2,653	   1,208	     0	          1,000	          3,000	         12,000	         16,000	         82,000
             Q_WC_02	    2	      1,000,000	    4,513,567,000	          221,554	  13	    8	   4,721	   5,302	    34	          1,000	          4,000	         14,000	         19,000	        854,000
             Q_WC_04	    2	      1,000,000	   13,080,446,000	           76,450	  14	    9	  13,575	  25,954	    42	              0	         17,000	         31,000	         45,000	        841,000
             Q_WC_08	    2	      1,000,000	   22,735,627,000	           43,984	  15	   10	  24,361	  51,670	     0	          1,000	         27,000	         39,000	         52,000	        136,000
             Q_WC_16	    2	      1,000,000	   27,711,516,000	           36,086	  16	   10	  29,606	  64,791	    28	              0	         31,000	         43,000	         57,000	        888,000
           Q_WC_X_01	    2	      1,000,000	    2,096,776,000	          476,923	  13	    8	   2,512	   1,156	     0	              0	          3,000	         12,000	         15,000	        199,000
           Q_WC_X_02	    2	      1,000,000	    2,045,368,000	          488,910	  13	    8	   3,624	   2,717	    33	          1,000	          6,000	         18,000	         33,000	        829,000
           Q_WC_X_04	    2	      1,000,000	    3,224,347,000	          310,140	  13	    8	   8,084	   8,695	    43	          1,000	         14,000	         43,000	        163,000	        979,000
           Q_WC_X_08	    2	      1,000,000	    2,829,361,000	          353,437	  13	   10	   9,202	   9,522	    84	          1,000	         27,000	        431,000	      1,175,000	      1,898,000
           Q_WC_X_16	    2	      1,000,000	    3,644,808,000	          274,363	  14	   12	  11,170	  15,423	     0	          1,000	         39,000	        430,000	      3,432,000	     14,227,000

             Q_WC_01	    3	      1,000,000	    2,188,702,000	          456,892	  13	    8	   2,668	   1,183	     0	          1,000	          3,000	         12,000	         16,000	        105,000
             Q_WC_02	    3	      1,000,000	    4,524,698,000	          221,009	  13	    8	   4,725	   5,314	    31	          1,000	          5,000	         14,000	         20,000	        795,000
             Q_WC_04	    3	      1,000,000	   12,742,363,000	           78,478	  14	    9	  13,209	  25,407	     0	          1,000	         17,000	         30,000	         42,000	        807,000
             Q_WC_08	    3	      1,000,000	   22,642,406,000	           44,165	  15	   10	  24,577	  52,966	     0	              0	         27,000	         41,000	         57,000	        298,000
             Q_WC_16	    3	      1,000,000	   27,999,728,000	           35,715	  16	   11	  30,088	  65,255	     0	          3,000	         32,000	         44,000	         58,000	        843,000
           Q_WC_X_01	    3	      1,000,000	    2,126,913,000	          470,165	  13	    7	   2,553	   1,176	     1	          1,000	          3,000	         12,000	         16,000	        781,000
           Q_WC_X_02	    3	      1,000,000	    2,000,403,000	          499,899	  13	    8	   3,668	   2,626	    31	          1,000	          6,000	         17,000	         33,000	        752,000
           Q_WC_X_04	    3	      1,000,000	    3,245,487,000	          308,120	  13	    8	   7,941	   8,953	    37	          1,000	         15,000	         43,000	        151,000	        906,000
