COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
           Q_WC_X_01	    1	      1,000,000	    1,005,841,000	          994,193	  13	    9	   1,547	     179	     1	          8,000	         23,000	         29,000	         48,000	        959,000
           Q_WC_X_02	    1	      1,000,000	      571,264,000	        1,750,504	  13	    8	   1,781	     139	    35	          8,000	         42,000	         64,000	        142,000	      1,060,000
           Q_WC_X_04	    1	      1,000,000	      490,813,000	        2,037,436	  13	   10	   2,359	     210	     1	         15,000	        120,000	        231,000	        415,000	      1,720,000
           Q_WC_X_08	    1	      1,000,000	      448,269,000	        2,230,803	  13	   15	   2,998	     284	    36	         18,000	        334,000	        917,000	      1,739,000	      4,487,000
           Q_WC_X_16	    1	      1,000,000	      735,664,000	        1,359,316	  16	   27	   4,397	   1,304	   237	         35,000	      1,041,000	      2,021,000	      3,686,000	     15,641,000

             Q_WC_01	    2	      1,000,000	    1,018,073,000	          982,248	  16	   10	   1,552	     183	    21	         10,000	         23,000	         29,000	         46,000	        132,000
             Q_WC_02	    2	      1,000,000	    1,046,987,000	          955,122	  16	    9	   1,718	     245	    31	          5,000	         36,000	         51,000	         67,000	        142,000
             Q_WC_04	    2	      1,000,000	    1,071,057,000	          933,657	  16	    9	   1,855	     282	    13	          6,000	         61,000	        110,000	        163,000	        340,000
             Q_WC_08	    2	      1,000,000	    1,095,289,000	          913,001	  16	   11	   1,973	     346	     0	          9,000	        110,000	        280,000	        424,000	        670,000
             Q_WC_16	    2	      1,000,000	    1,144,409,000	          873,813	  16	   12	   2,199	     476	     0	         12,000	        230,000	        639,000	      1,121,000	      1,343,000
           Q_WC_X_01	    2	      1,000,000	    1,032,410,000	          968,607	  16	   10	   1,572	     181	     0	         10,000	         23,000	         29,000	         47,000	        102,000
           Q_WC_X_02	    2	      1,000,000	      551,387,000	        1,813,608	  16	   10	   1,772	     128	    59	          8,000	         41,000	         59,000	         84,000	        169,000
           Q_WC_X_04	    2	      1,000,000	      429,419,000	        2,328,728	  16	   12	   2,659	     148	   102	         13,000	        115,000	        224,000	        410,000	      1,305,000
           Q_WC_X_08	    2	      1,000,000	      481,365,000	        2,077,426	  16	   19	   3,172	     305	   100	         28,000	        390,000	      1,034,000	      1,769,000	      5,892,000
           Q_WC_X_16	    2	      1,000,000	      722,705,000	        1,383,690	  16	   28	   4,033	   1,219	     1	         14,000	        810,000	      1,540,000	      2,589,000	     12,441,000

             Q_WC_01	    3	      1,000,000	    1,037,180,000	          964,153	  16	   10	   1,588	     181	    36	          8,000	         23,000	         29,000	         51,000	        106,000
             Q_WC_02	    3	      1,000,000	    1,053,818,000	          948,930	  16	    9	   1,716	     242	     1	          6,000	         36,000	         51,000	         64,000	        136,000
             Q_WC_04	    3	      1,000,000	    1,065,554,000	          938,479	  16	    9	   1,827	     276	     1	          5,000	         61,000	        110,000	        161,000	        241,000
             Q_WC_08	    3	      1,000,000	    1,093,235,000	          914,716	  16	   11	   1,959	     346	     0	          9,000	        110,000	        283,000	        425,000	        725,000
             Q_WC_16	    3	      1,000,000	    1,141,862,000	          875,763	  16	   11	   2,204	     474	    27	         10,000	        229,000	        641,000	      1,072,000	      1,327,000
           Q_WC_X_01	    3	      1,000,000	    1,016,973,000	          983,310	  16	   10	   1,551	     184	     1	          9,000	         23,000	         28,000	         52,000	        227,000
           Q_WC_X_02	    3	      1,000,000	      542,917,000	        1,841,902	  16	    9	   1,735	     126	    18	          6,000	         41,000	         58,000	         75,000	        131,000
           Q_WC_X_04	    3	      1,000,000	      426,889,000	        2,342,529	  16	   12	   2,636	     160	    20	          9,000	        106,000	        193,000	        288,000	      1,231,000
           Q_WC_X_08	    3	      1,000,000	      477,605,000	        2,093,780	  16	   20	   3,167	     303	     0	         14,000	        358,000	        947,000	      1,567,000	      4,949,000
           Q_WC_X_16	    3	      1,000,000	      767,660,000	        1,302,660	  16	   26	   4,120	   1,583	     2	         13,000	        807,000	      1,607,000	      2,719,000	     35,893,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest, Q.disruptor.lite-blocking=true, Q.batch-size=500, Q.disruptor.timeout=0}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,140,018,000	          877,179	  13	    8	   2,075	     192	   426	         14,000	         42,000	         62,000	        518,000	      2,623,000
             Q_WC_02	    1	      1,000,000	    1,062,826,000	          940,888	  13	    8	   1,887	     160	   170	         11,000	         67,000	        107,000	        608,000	      1,107,000
             Q_WC_04	    1	      1,000,000	    1,016,292,000	          983,969	  13	    9	   1,829	     194	   195	          8,000	        111,000	        205,000	        310,000	      1,128,000
             Q_WC_08	    1	      1,000,000	    1,031,790,000	          969,189	  13	   10	   1,887	     257	     0	         17,000	        197,000	        497,000	        795,000	      1,879,000
             Q_WC_16	    1	      1,000,000	    1,120,651,000	          892,338	  14	   23	   2,392	     384	    39	         15,000	        387,000	        901,000	      1,222,000	      2,584,000
           Q_WC_X_01	    1	      1,000,000	      996,263,000	        1,003,751	  13	    8	   1,512	     123	     0	         11,000	         40,000	         52,000	         87,000	        875,000
           Q_WC_X_02	    1	      1,000,000	      590,561,000	        1,693,305	  13	    9	   1,802	      96	    37	         15,000	         77,000	        121,000	        296,000	      1,102,000
           Q_WC_X_04	    1	      1,000,000	      453,750,000	        2,203,857	  13	   13	   2,540	     208	    65	         18,000	        188,000	        374,000	        812,000	      2,629,000
           Q_WC_X_08	    1	      1,000,000	      493,848,000	        2,024,915	  13	   24	   3,189	     455	     0	         15,000	        554,000	      1,207,000	      2,317,000	      5,245,000
           Q_WC_X_16	    1	      1,000,000	      743,637,000	        1,344,742	  16	   30	   4,628	   1,040	   394	         11,000	        974,000	      3,001,000	      8,557,000	     74,976,000

             Q_WC_01	    2	      1,000,000	    1,007,224,000	          992,828	  16	   11	   1,523	     129	     0	          6,000	         41,000	         52,000	         83,000	        177,000
             Q_WC_02	    2	      1,000,000	    1,017,326,000	          982,969	  16	    9	   1,656	     156	    14	         10,000	         64,000	         93,000	        116,000	        323,000
             Q_WC_04	    2	      1,000,000	    1,044,241,000	          957,633	  16	   11	   1,798	     192	    14	          9,000	        114,000	        211,000	        312,000	        489,000
             Q_WC_08	    2	      1,000,000	    1,067,015,000	          937,194	  16	   14	   1,949	     260	    21	         16,000	        204,000	        513,000	        819,000	      1,277,000
             Q_WC_16	    2	      1,000,000	    1,109,924,000	          900,963	  16	   15	   2,232	     379	     0	         17,000	        384,000	        884,000	      1,176,000	      1,323,000
           Q_WC_X_01	    2	      1,000,000	      996,950,000	        1,003,059	  16	   10	   1,532	     124	    39	         15,000	         41,000	         57,000	         90,000	        191,000
           Q_WC_X_02	    2	      1,000,000	      557,058,000	        1,795,145	  16	   11	   1,784	      96	    56	         14,000	         77,000	        115,000	        160,000	        258,000
           Q_WC_X_04	    2	      1,000,000	      469,208,000	        2,131,251	  16	   15	   2,615	     214	    45	         23,000	        196,000	        379,000	        589,000	      1,954,000
           Q_WC_X_08	    2	      1,000,000	      530,313,000	        1,885,679	  16	   26	   3,416	     522	    43	         27,000	        603,000	      1,233,000	      1,945,000	      4,272,000
           Q_WC_X_16	    2	      1,000,000	      773,162,000	        1,293,390	  16	   40	   4,225	   1,442	    44	         10,000	        860,000	      2,189,000	     15,610,000	    100,011,000

             Q_WC_01	    3	      1,000,000	    1,004,816,000	          995,207	  16	   10	   1,509	     135	     0	         11,000	         40,000	         51,000	         84,000	        175,000
             Q_WC_02	    3	      1,000,000	    1,035,461,000	          965,753	  16	   10	   1,674	     155	     0	         12,000	         65,000	         95,000	        124,000	        306,000
             Q_WC_04	    3	      1,000,000	    1,042,949,000	          958,820	  16	   10	   1,781	     191	     1	          8,000	        114,000	        210,000	        314,000	        577,000
             Q_WC_08	    3	      1,000,000	    1,079,685,000	          926,196	  16	   13	   1,965	     262	     0	         14,000	        203,000	        513,000	        806,000	      1,083,000
             Q_WC_16	    3	      1,000,000	    1,122,069,000	          891,211	  16	   16	   2,254	     385	    25	         15,000	        389,000	        882,000	      1,152,000	      1,315,000
           Q_WC_X_01	    3	      1,000,000	    1,018,493,000	          981,843	  16	   10	   1,545	     132	    25	          5,000	         41,000	         51,000	         74,000	        136,000
           Q_WC_X_02	    3	      1,000,000	      558,127,000	        1,791,707	  16	   10	   1,751	     100	     0	         14,000	         75,000	        110,000	        144,000	      1,022,000
           Q_WC_X_04	    3	      1,000,000	      468,137,000	        2,136,127	  16	   15	   2,627	     201	     1	         24,000	        198,000	        385,000	        610,000	      1,837,000
           Q_WC_X_08	    3	      1,000,000	      528,820,000	        1,891,003	  16	   27	   3,405	     446	     0	         18,000	        594,000	      1,243,000	      3,175,000	      4,328,000
           Q_WC_X_16	    3	      1,000,000	      822,216,000	        1,216,225	  16	   33	   4,386	   1,843	    24	         32,000	      1,015,000	      1,943,000	      4,008,000	     13,355,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.batch-size=100}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,371,642,000	          729,053	  13	    7	   2,368	     521	   425	          3,000	         14,000	         22,000	        127,000	      3,849,000
             Q_WC_02	    1	      1,000,000	    1,365,032,000	          732,584	  13	    8	   2,450	     567	   427	          5,000	         21,000	         33,000	        328,000	        790,000
             Q_WC_04	    1	      1,000,000	    1,290,602,000	          774,832	  13	    8	   2,120	     613	   168	          4,000	         33,000	         58,000	         86,000	        817,000
             Q_WC_08	    1	      1,000,000	    1,315,842,000	          759,970	  13	    8	   2,240	     703	    24	          4,000	         57,000	        143,000	        219,000	        978,000
             Q_WC_16	    1	      1,000,000	    1,396,221,000	          716,219	  14	   20	   2,587	     892	    23	          6,000	        120,000	        320,000	        632,000	      1,373,000
           Q_WC_X_01	    1	      1,000,000	    1,245,379,000	          802,968	  13	    8	   1,810	     464	     0	          4,000	         14,000	         19,000	         34,000	        807,000
           Q_WC_X_02	    1	      1,000,000	      657,059,000	        1,521,933	  13	    7	   2,008	     291	    24	          4,000	         22,000	         33,000	         52,000	        796,000
           Q_WC_X_04	    1	      1,000,000	      525,776,000	        1,901,951	  13	    9	   2,897	     331	    26	          8,000	         55,000	        115,000	        351,000	      1,315,000
           Q_WC_X_08	    1	      1,000,000	      529,344,000	        1,889,131	  13	   12	   3,252	     492	    39	         13,000	        229,000	        528,000	        929,000	      2,012,000
           Q_WC_X_16	    1	      1,000,000	      776,766,000	        1,287,389	  16	   23	   4,822	   1,180	   531	          7,000	        622,000	      1,401,000	      4,063,000	     71,138,000

             Q_WC_01	    2	      1,000,000	    1,261,430,000	          792,751	  16	    9	   1,836	     469	     0	          5,000	         14,000	         19,000	         32,000	        106,000
             Q_WC_02	    2	      1,000,000	    1,294,858,000	          772,285	  16	    9	   1,981	     544	     0	          5,000	         20,000	         29,000	         38,000	         81,000
             Q_WC_04	    2	      1,000,000	    1,320,287,000	          757,411	  16	    9	   2,139	     611	     1	          5,000	         34,000	         59,000	         87,000	        182,000
             Q_WC_08	    2	      1,000,000	    1,353,128,000	          739,028	  16	    9	   2,274	     707	     1	          5,000	         58,000	        146,000	        219,000	        322,000
             Q_WC_16	    2	      1,000,000	    1,394,899,000	          716,898	  16	   12	   2,472	     882	     1	          9,000	        123,000	        328,000	        642,000	      1,007,000
           Q_WC_X_01	    2	      1,000,000	    1,243,077,000	          804,455	  16	    8	   1,802	     466	     0	          4,000	         14,000	         19,000	         33,000	         75,000
           Q_WC_X_02	    2	      1,000,000	      661,390,000	        1,511,967	  16	   10	   2,042	     282	    19	          6,000	         22,000	         32,000	         46,000	         89,000
           Q_WC_X_04	    2	      1,000,000	      488,597,000	        2,046,677	  16	   10	   2,882	     323	    43	          7,000	         53,000	         95,000	        144,000	      1,034,000
           Q_WC_X_08	    2	      1,000,000	      534,866,000	        1,869,627	  16	   14	   3,247	     542	    21	         12,000	        212,000	        488,000	        902,000	      2,750,000
           Q_WC_X_16	    2	      1,000,000	      686,372,000	        1,456,936	  16	   24	   4,114	   1,160	   143	         10,000	        724,000	      1,390,000	      1,932,000	      3,373,000

             Q_WC_01	    3	      1,000,000	    1,251,944,000	          798,758	  16	    9	   1,811	     462	    39	          4,000	         14,000	         19,000	         44,000	        230,000
             Q_WC_02	    3	      1,000,000	    1,295,936,000	          771,643	  16	    9	   1,979	     540	    47	          4,000	         20,000	         28,000	         37,000	         95,000
             Q_WC_04	    3	      1,000,000	    1,326,679,000	          753,762	  16	    9	   2,134	     605	     1	          4,000	         33,000	         59,000	         86,000	        146,000
             Q_WC_08	    3	      1,000,000	    1,337,389,000	          747,726	  16	    9	   2,242	     696	     0	          5,000	         58,000	        146,000	        223,000	        418,000
             Q_WC_16	    3	      1,000,000	    1,395,621,000	          716,527	  16	   12	   2,476	     889	    27	          4,000	        121,000	        325,000	        653,000	      1,266,000
           Q_WC_X_01	    3	      1,000,000	    1,266,101,000	          789,826	  16	    9	   1,825	     465	     1	          3,000	         14,000	         19,000	         43,000	         99,000
           Q_WC_X_02	    3	      1,000,000	      647,341,000	        1,544,781	  16	    9	   1,967	     283	     0	          5,000	         21,000	         30,000	         40,000	        121,000
           Q_WC_X_04	    3	      1,000,000	      485,416,000	        2,060,089	  16	   10	   2,855	     322	     1	          6,000	         51,000	         90,000	        135,000	      1,041,000
           Q_WC_X_08	    3	      1,000,000	      534,077,000	        1,872,389	  16	   15	   3,312	     562	     0	         10,000	        189,000	        468,000	        909,000	      3,436,000
           Q_WC_X_16	    3	      1,000,000	      676,869,000	        1,477,391	  16	   23	   4,012	   1,155	     1	         16,000	        689,000	      1,343,000	      2,155,000	      4,126,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.batch-size=250}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,259,806,000	          793,773	  13	    8	   2,191	     285	   515	          9,000	         25,000	         39,000	        298,000	      3,309,000
             Q_WC_02	    1	      1,000,000	    1,206,647,000	          828,743	  13	    8	   2,097	     277	   322	          7,000	         42,000	         65,000	        552,000	        871,000
             Q_WC_04	    1	      1,000,000	    1,162,302,000	          860,362	  13	    8	   1,955	     314	   177	          8,000	         67,000	        122,000	        182,000	      1,003,000
             Q_WC_08	    1	      1,000,000	    1,177,829,000	          849,020	  13	    8	   2,022	     389	    31	          6,000	        118,000	        300,000	        458,000	      1,347,000
             Q_WC_16	    1	      1,000,000	    1,254,132,000	          797,364	  14	   23	   2,448	     547	     9	         10,000	        247,000	        680,000	      1,136,000	      1,915,000
           Q_WC_X_01	    1	      1,000,000	    1,122,025,000	          891,246	  13	    7	   1,634	     215	     0	         10,000	         24,000	         32,000	         53,000	        926,000
           Q_WC_X_02	    1	      1,000,000	      616,432,000	        1,622,239	  13	    8	   1,846	     162	    40	         11,000	         43,000	         65,000	        133,000	        897,000
           Q_WC_X_04	    1	      1,000,000	      430,112,000	        2,324,976	  13	   10	   2,601	     163	     1	         12,000	        105,000	        193,000	        350,000	      1,234,000
           Q_WC_X_08	    1	      1,000,000	      481,519,000	        2,076,761	  13	   15	   3,191	     368	    69	          8,000	        327,000	        907,000	      1,548,000	      2,843,000
           Q_WC_X_16	    1	      1,000,000	      826,278,000	        1,210,246	  16	   28	   4,975	   1,411	   543	         11,000	        663,000	      1,185,000	      3,569,000	     53,963,000

             Q_WC_01	    2	      1,000,000	    1,140,143,000	          877,083	  16	   10	   1,700	     211	    27	              0	         25,000	         30,000	         49,000	        190,000
             Q_WC_02	    2	      1,000,000	    1,149,199,000	          870,171	  16	    9	   1,803	     270	     0	          7,000	         40,000	         57,000	         75,000	        273,000
             Q_WC_04	    2	      1,000,000	    1,166,873,000	          856,991	  16	    9	   1,924	     315	     1	          7,000	         67,000	        121,000	        178,000	        343,000
             Q_WC_08	    2	      1,000,000	    1,191,109,000	          839,554	  16	   11	   2,054	     390	     0	          7,000	        119,000	        303,000	        458,000	        614,000
             Q_WC_16	    2	      1,000,000	    1,276,798,000	          783,209	  16	   13	   2,320	     541	     1	          8,000	        250,000	        673,000	      1,084,000	      1,321,000
           Q_WC_X_01	    2	      1,000,000	    1,148,551,000	          870,662	  16	    9	   1,693	     219	    42	         10,000	         25,000	         31,000	         48,000	        175,000
           Q_WC_X_02	    2	      1,000,000	      589,724,000	        1,695,709	  16	   10	   1,845	     143	    52	          9,000	         43,000	         61,000	         81,000	        151,000
           Q_WC_X_04	    2	      1,000,000	      439,941,000	        2,273,032	  16	   11	   2,684	     180	    44	         15,000	        108,000	        198,000	        300,000	      1,328,000
           Q_WC_X_08	    2	      1,000,000	      495,524,000	        2,018,066	  16	   19	   3,337	     398	    21	         18,000	        385,000	        989,000	      1,808,000	      3,091,000
           Q_WC_X_16	    2	      1,000,000	      881,179,000	        1,134,843	  16	   28	   4,570	   2,144	     4	         10,000	        818,000	      1,559,000	      2,750,000	     35,800,000

             Q_WC_01	    3	      1,000,000	    1,144,540,000	          873,713	  16	    9	   1,683	     218	    14	         10,000	         25,000	         33,000	         53,000	        182,000
             Q_WC_02	    3	      1,000,000	    1,161,414,000	          861,019	  16	    9	   1,815	     269	     0	          8,000	         40,000	         57,000	         76,000	        144,000
             Q_WC_04	    3	      1,000,000	    1,172,820,000	          852,646	  16	   10	   1,930	     310	     0	          8,000	         67,000	        122,000	        178,000	        266,000
             Q_WC_08	    3	      1,000,000	    1,197,077,000	          835,368	  16	   10	   2,054	     389	     0	          6,000	        120,000	        309,000	        472,000	        659,000
             Q_WC_16	    3	      1,000,000	    1,239,857,000	          806,545	  16	   12	   2,310	     539	    24	         10,000	        245,000	        663,000	      1,059,000	      1,321,000
           Q_WC_X_01	    3	      1,000,000	    1,155,900,000	          865,127	  16	    9	   1,683	     218	     0	         10,000	         25,000	         35,000	         54,000	        135,000
           Q_WC_X_02	    3	      1,000,000	      588,085,000	        1,700,434	  16	   10	   1,817	     144	     1	         12,000	         43,000	         61,000	         79,000	        139,000
           Q_WC_X_04	    3	      1,000,000	      451,876,000	        2,212,996	  16	   12	   2,707	     182	     1	         13,000	        108,000	        197,000	        297,000	      1,293,000
           Q_WC_X_08	    3	      1,000,000	      486,046,000	        2,057,418	  16	   21	   3,317	     357	     0	         17,000	        392,000	        959,000	      1,923,000	      3,159,000
           Q_WC_X_16	    3	      1,000,000	      782,036,000	        1,278,714	  16	   27	   4,383	   1,635	     0	         25,000	        892,000	      1,576,000	      2,251,000	      3,932,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.batch-size=500}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,246,200,000	          802,439	  13	    8	   2,199	     219	   485	          6,000	         47,000	         71,000	        447,000	      3,029,000
             Q_WC_02	    1	      1,000,000	    1,171,264,000	          853,778	  13	    9	   2,041	     177	   243	          7,000	         74,000	        113,000	        675,000	        969,000
             Q_WC_04	    1	      1,000,000	    1,119,279,000	          893,432	  13	    8	   1,916	     217	   198	         15,000	        123,000	        229,000	        348,000	      1,250,000
             Q_WC_08	    1	      1,000,000	    1,141,418,000	          876,103	  13	   10	   2,036	     293	    84	         12,000	        214,000	        557,000	        868,000	      1,280,000
             Q_WC_16	    1	      1,000,000	    1,225,180,000	          816,207	  14	   24	   2,511	     441	    35	         12,000	        435,000	        921,000	      1,233,000	      2,556,000
           Q_WC_X_01	    1	      1,000,000	    1,092,816,000	          915,067	  13	    7	   1,603	     150	     0	          8,000	         45,000	         54,000	         77,000	        663,000
           Q_WC_X_02	    1	      1,000,000	      587,422,000	        1,702,354	  13	    8	   1,746	     109	     2	         11,000	         77,000	        114,000	        156,000	      1,065,000
           Q_WC_X_04	    1	      1,000,000	      516,788,000	        1,935,029	  13	   13	   2,723	     217	    46	         14,000	        228,000	        655,000	      1,228,000	      2,212,000
           Q_WC_X_08	    1	      1,000,000	      515,814,000	        1,938,683	  13	   23	   3,345	     450	    38	         21,000	        633,000	      1,275,000	      2,257,000	      5,537,000
           Q_WC_X_16	    1	      1,000,000	      816,919,000	        1,224,112	  16	   32	   4,965	   1,304	   559	         10,000	        850,000	      2,047,000	      4,816,000	     76,291,000

             Q_WC_01	    2	      1,000,000	    1,126,538,000	          887,675	  16	    9	   1,670	     154	    20	          6,000	         46,000	         56,000	         84,000	        224,000
             Q_WC_02	    2	      1,000,000	    1,118,918,000	          893,721	  16	   10	   1,758	     169	    13	         11,000	         71,000	        104,000	        141,000	        296,000
             Q_WC_04	    2	      1,000,000	    1,136,680,000	          879,755	  16	   11	   1,873	     212	     0	         10,000	        122,000	        225,000	        336,000	        455,000
             Q_WC_08	    2	      1,000,000	    1,162,356,000	          860,322	  16	   12	   2,044	     292	    20	         11,000	        216,000	        564,000	        877,000	      1,145,000
             Q_WC_16	    2	      1,000,000	    1,229,840,000	          813,114	  16	   17	   2,365	     425	     1	         10,000	        451,000	        904,000	      1,133,000	      1,341,000
           Q_WC_X_01	    2	      1,000,000	    1,114,974,000	          896,882	  16	   10	   1,630	     156	     0	         15,000	         45,000	         54,000	         76,000	        131,000
           Q_WC_X_02	    2	      1,000,000	      623,563,000	        1,603,687	  16	   11	   1,913	     117	    79	         13,000	         84,000	        124,000	        168,000	        328,000
           Q_WC_X_04	    2	      1,000,000	      522,325,000	        1,914,517	  16	   16	   2,549	     258	    77	          8,000	        229,000	        435,000	        689,000	      2,013,000
           Q_WC_X_08	    2	      1,000,000	      535,366,000	        1,867,881	  16	   28	   3,506	     508	    79	         29,000	        603,000	      1,271,000	      3,155,000	      4,716,000
           Q_WC_X_16	    2	      1,000,000	      976,947,000	        1,023,597	  16	   35	   4,852	   2,489	    54	         59,000	        968,000	      1,975,000	      4,256,000	     11,831,000

             Q_WC_01	    3	      1,000,000	    1,110,240,000	          900,706	  16	   10	   1,636	     161	     0	         13,000	         46,000	         57,000	         92,000	        359,000
             Q_WC_02	    3	      1,000,000	    1,119,286,000	          893,427	  16	   11	   1,769	     165	     0	         12,000	         71,000	        103,000	        132,000	        334,000
             Q_WC_04	    3	      1,000,000	    1,145,900,000	          872,676	  16	   10	   1,924	     214	    17	          9,000	        126,000	        233,000	        348,000	        532,000
             Q_WC_08	    3	      1,000,000	    1,163,630,000	          859,380	  16	   13	   2,048	     290	     0	          9,000	        217,000	        560,000	        879,000	      1,233,000
             Q_WC_16	    3	      1,000,000	    1,209,334,000	          826,901	  16	   17	   2,384	     428	    29	          7,000	        434,000	        907,000	      1,148,000	      1,353,000
           Q_WC_X_01	    3	      1,000,000	    1,124,061,000	          889,631	  16	   10	   1,660	     158	     1	          9,000	         46,000	         57,000	         85,000	        217,000
           Q_WC_X_02	    3	      1,000,000	      592,300,000	        1,688,334	  16	   11	   1,803	     108	     0	         15,000	         79,000	        114,000	        147,000	        234,000
           Q_WC_X_04	    3	      1,000,000	      511,837,000	        1,953,747	  16	   16	   2,566	     234	     1	         18,000	        210,000	        417,000	        685,000	      2,357,000
           Q_WC_X_08	    3	      1,000,000	      535,706,000	        1,866,696	  16	   29	   3,513	     429	     0	         27,000	        598,000	      1,244,000	      2,529,000	      4,804,000
           Q_WC_X_16	    3	      1,000,000	      940,119,000	        1,063,695	  16	   33	   4,679	   2,476	     1	          6,000	        766,000	      1,525,000	      3,583,000	     53,889,000

